127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/default/index, HTTP/1.1, 200, 0.070435
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001193
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/calendar.js, HTTP/1.1, 200, 0.000751
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001223
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/jquery.js, HTTP/1.1, 200, 0.001231
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002257
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/css/calendar.css, HTTP/1.1, 200, 0.001361
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/web2py.js, HTTP/1.1, 200, 0.000542
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000685
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/js/share.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/images/background.jpg, HTTP/1.1, 200, 0.000278
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000273
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/images/twitter.png, HTTP/1.1, 200, 0.000290
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/images/facebook.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/images/gplus-32.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2018-04-16 15:28:17, GET, /timereporting/static/images/favicon.ico, HTTP/1.1, 200, 0.000422
127.0.0.1, 2018-04-16 15:28:20, GET, /admin/default/site, HTTP/1.1, 200, 0.020401
127.0.0.1, 2018-04-16 15:28:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2018-04-16 15:29:30, GET, /admin/default/site, HTTP/1.1, 200, 0.017773
127.0.0.1, 2018-04-16 15:29:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2018-04-16 15:32:48, GET, /admin/default/site, HTTP/1.1, 200, 0.217151
127.0.0.1, 2018-04-16 15:32:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2018-04-16 15:32:54, GET, /, HTTP/1.1, 303, 0.000349
127.0.0.1, 2018-04-16 15:32:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.063006
127.0.0.1, 2018-04-16 15:32:57, GET, /admin/default/index, HTTP/1.1, 303, 0.001991
127.0.0.1, 2018-04-16 15:32:57, GET, /admin/default/site, HTTP/1.1, 200, 0.019590
127.0.0.1, 2018-04-16 15:32:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
